seed,dynamic_auc,dynamic_recovered,dynamic_recovery_steps,uncoupled_auc,uncoupled_recovered,uncoupled_recovery_steps,matched_fixed_auc,matched_fixed_recovered,matched_fixed_recovery_steps,shuffled_schedule_auc,shuffled_schedule_recovered,shuffled_schedule_recovery_steps,repulsive_auc,repulsive_recovered,repulsive_recovery_steps,dynamic_dt_noise_auc,dynamic_dt_noise_recovered,dynamic_dt_noise_recovery_steps,observed_correlation,surrogate_correlation
45,0.9214230917474169,true,84,0.1043586903509549,false,,0.933344293452061,true,73,0.9336921791188026,true,73,-0.6041385185330798,false,,0.9205178378397934,true,88,0.03483705139074437,-0.0006201735106446903
46,0.8576847076459456,true,103,-0.19792225345705977,false,,0.9010398431731194,true,88,0.9021533023973987,true,87,-0.6575461318563861,false,,0.8602212780829243,true,100,-0.042992321481701595,0.04176714346028264
47,0.9125058858325813,true,104,0.08967863995277116,false,,0.9317340507370022,true,84,0.9315261494242121,true,84,-0.6042769944751881,false,,0.9055257695010129,true,112,-0.03134634236365344,0.013595519680459293
48,0.9309126650865633,true,81,0.11663976950690519,false,,0.9397538544285992,true,73,0.9395331932135869,true,73,-0.6078840411322787,false,,0.9354046967559311,true,77,0.05696221320863705,0.005947884311051052
49,0.8940447892620516,true,111,-0.04343843739264366,false,,0.9198737727133927,true,89,0.9201376508092999,true,90,-0.6294672882789787,false,,0.902109594697515,true,106,-0.011538012040101861,-0.005886084716832769
50,0.945186771909676,true,69,0.22919290137737997,false,,0.9501684098969491,true,64,0.9499522828391901,true,64,-0.5980393831484269,false,,0.9490046179128231,true,68,-0.036862908308400534,-0.0746557238942398
51,0.8804797297204694,true,107,-0.005208483965939423,false,,0.9111733243398564,true,86,0.9107353039539385,true,87,-0.611725045161365,false,,0.8767723052570057,true,113,-0.01694768890317571,0.055637990500972956
52,0.9077277553484783,true,67,-0.18274979141095635,false,,0.9276795704219007,true,63,0.926943046576547,true,64,-0.6808823521071963,false,,0.9079423813944639,true,73,-0.03622990207418865,-0.0036728876715703706
53,0.8731821911552605,true,131,-0.026660797440958794,false,,0.9151587585439899,true,94,0.9160389755247721,true,94,-0.6164069372637007,false,,0.8799596298847562,true,129,-0.030806176740568084,-0.044048626277919445
54,0.8871014306543137,true,74,-0.014633311957700349,false,,0.9181917213806366,true,70,0.9191305449944196,true,70,-0.6240823390047074,false,,0.8876715586814596,true,76,0.08533423969119655,0.04004127986897415
55,0.9088080626216761,true,95,0.11677800647141677,false,,0.9266215294221719,true,80,0.9262880168915782,true,81,-0.5866413308150394,false,,0.9086693656841471,true,98,-0.01429240353714156,-0.0063743305012449085
56,0.9152536998921158,true,90,0.03807923586183966,false,,0.9294781303782822,true,78,0.9295753306502715,true,78,-0.6205398276035677,false,,0.9174651681064503,true,88,0.001528844799280319,-0.009629092229167172
57,0.899940429781298,true,96,-0.022041382789570258,false,,0.9205964894113496,true,82,0.9193934916433746,true,83,-0.6303960863766737,false,,0.8977149637039078,true,100,0.02777357767079812,-0.00546004477807659
58,0.8853226549567976,true,106,0.10711519074797497,false,,0.9132219420626926,true,89,0.9130637212069216,true,90,-0.5928827453864762,false,,0.8837627687458359,true,108,0.016770048677971973,0.06263452476485144
59,0.9152673926457867,true,59,0.13571904587903125,false,,0.933943817845892,true,56,0.9347894041836752,true,55,-0.600737149481184,false,,0.9204708458990086,true,54,-0.025377437728819476,-0.04469925011161775
60,0.9208424476542765,true,86,-0.0117673908478524,false,,0.9331513190005535,true,75,0.9335621688908182,true,75,-0.6304354321611512,false,,0.9236559470850673,true,85,-0.03700595084861134,-0.02115625378595812
61,0.880542252014077,true,84,-0.10351971532697193,false,,0.9127008236632808,true,74,0.912853775620668,true,75,-0.6419473695680634,false,,0.8846384387178002,true,81,0.04045644310459281,0.008369755230456539
62,0.8696467846681333,true,133,-0.10488913087561366,false,,0.9095905425066925,true,100,0.9100021240165265,true,100,-0.6405470879675639,false,,0.8746383324640469,true,127,0.06137546672065327,-0.021726091921804264
63,0.8878876910007933,true,70,-0.0319004801440264,false,,0.9192814444034797,true,66,0.9204473011772845,true,65,-0.6292600626789138,false,,0.8906862272259866,true,70,0.048628825844466726,0.06895715838352763
64,0.8925362501407097,true,74,-0.12461149842003895,false,,0.9199693406010506,true,69,0.9199030921160298,true,68,-0.6534406209691421,false,,0.8878369622440607,true,79,-0.029672467936805485,0.00005919475349821398
65,0.8863247605399691,true,78,-0.1295216890291293,false,,0.9167785431615247,true,72,0.9178003386824966,true,71,-0.6468806485710293,false,,0.8811618676163497,true,79,0.07799648577893417,0.016507333272924023
66,0.754899968346139,true,147,-0.27606777917190145,false,,0.8620490081079983,true,107,0.8652539782007419,true,103,-0.6635989524628378,false,,0.7657063081379387,true,142,-0.02331709100784482,-0.006784063549333012
67,0.8144437160680547,true,170,-0.051091240142155415,false,,0.8931116002682024,true,108,0.8946803859125645,true,107,-0.608153792840227,false,,0.822557920168538,true,164,0.003512704354891639,-0.009181451693949242
